data,ticker,empresa,categoria,assunto,protocolo,link
12/08/2026 19:59,HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Dados Econômico-Financeiros,ITR 1T26 - IFRS 17,1556686,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081392&numVersao=1&numProtocolo=1556686&descTipo=IPE&CodigoInstituicao=1
12/08/2026 20:02,HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Dados Econômico-Financeiros,Release 2T26,1556691,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081397&numVersao=1&numProtocolo=1556691&descTipo=IPE&CodigoInstituicao=1
12/08/2026 20:08,HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Comunicado ao Mercado,Apresentação 2T26,1556697,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081403&numVersao=1&numProtocolo=1556697&descTipo=IPE&CodigoInstituicao=1
12/08/2026 20:17,MATD3,HOSPITAL MATER DEI S/A,Dados Econômico-Financeiros,Release 2T26,1556701,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081407&numVersao=1&numProtocolo=1556701&descTipo=IPE&CodigoInstituicao=1
13/08/2026 08:50,RDOR3,REDE DOR SÃO LUIZ S.A.,Comunicado ao Mercado,Apresentação da Teleconferência de Resultados 2T26,1556818,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081524&numVersao=1&numProtocolo=1556818&descTipo=IPE&CodigoInstituicao=1
13/08/2026 09:00,QUAL3,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Comunicado ao Mercado,Call 2T26,1556825,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081531&numVersao=1&numProtocolo=1556825&descTipo=IPE&CodigoInstituicao=1
13/08/2026 09:28,MATD3,HOSPITAL MATER DEI S/A,Comunicado ao Mercado,Apresentação Webcast 2T26,1556833,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081539&numVersao=1&numProtocolo=1556833&descTipo=IPE&CodigoInstituicao=1
13/08/2026 10:22,COGN3,COGNA EDUCAÇÃO S.A.,Comunicado ao Mercado,Apresentação de Resultados 2T26,1556855,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081561&numVersao=1&numProtocolo=1556855&descTipo=IPE&CodigoInstituicao=1
13/08/2026 10:39,HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Comunicado ao Mercado,Apresentação 2T26,1556857,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081563&numVersao=2&numProtocolo=1556857&descTipo=IPE&CodigoInstituicao=1
2026-08-13T16:04:51.000Z,AFYA,Afya,SEC 6-K,6-K,0001292814-26-004218,https://www.sec.gov/Archives/edgar/data/1771007/000129281426004218/afyapr2q26_6k.htm
2026-08-13T16:08:05.000Z,AFYA,Afya,SEC 6-K,6-K,0001292814-26-004220,https://www.sec.gov/Archives/edgar/data/1771007/000129281426004220/afyafs2q26_6k.htm
13/08/2026 18:04,YDUQ3,YDUQS PARTICIPACOES S.A.,Dados Econômico-Financeiros,Release 2T26,1557225,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081931&numVersao=1&numProtocolo=1557225&descTipo=IPE&CodigoInstituicao=1
13/08/2026 18:07,YDUQ3,YDUQS PARTICIPACOES S.A.,Comunicado ao Mercado,Apresentação 2T26,1557236,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1081942&numVersao=1&numProtocolo=1557236&descTipo=IPE&CodigoInstituicao=1
13/08/2026 19:48,DASA3,DIAGNOSTICOS DA AMERICA S.A.,Dados Econômico-Financeiros,Release de Resultados 2T26,1557405,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1082111&numVersao=1&numProtocolo=1557405&descTipo=IPE&CodigoInstituicao=1
13/08/2026 19:48,DASA3,DIAGNOSTICOS DA AMERICA S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras 2T26,1557404,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1082110&numVersao=1&numProtocolo=1557404&descTipo=IPE&CodigoInstituicao=1
14/08/2026 00:03,ANIM3,ANIMA HOLDING S.A.,Dados Econômico-Financeiros,Release de Resultados 2T26,1557502,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1082208&numVersao=1&numProtocolo=1557502&descTipo=IPE&CodigoInstituicao=1
14/08/2026 00:21,ANIM3,ANIMA HOLDING S.A.,Comunicado ao Mercado,Comunicado ao Mercado - Divulgação de Resultados 2T26,1557507,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1082213&numVersao=1&numProtocolo=1557507&descTipo=IPE&CodigoInstituicao=1
